Datasets and Dataloaders created
Training starts
../../src/posterior_networks/PosteriorNetwork.py:166: UserWarning: Anomaly Detection has been enabled. This mode will increase the runtime and should only be enabled for debugging.
  with autograd.detect_anomaly():
Epoch 0 -> Val loss 1.833 | Val Acc.: 0.15
Epoch 175 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 176 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 177 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 178 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 179 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 180 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 181 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 182 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 183 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 184 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 185 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 186 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 187 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 188 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 189 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 190 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 191 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 192 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 193 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 194 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 195 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 196 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 197 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 198 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 199 -> Val loss 1.833 | Val Acc.: 0.35
